0,0,32,2,0,0,0,138,357,241,297,546,641,473,199,111,63,10,0,0
0,0,34,0,0,0,1,133,364,227,301,562,643,471,192,114,61,7,0,0
0,0,33,1,0,0,2,132,359,218,322,553,650,458,196,119,64,3,0,0
0,0,33,1,0,0,1,123,361,243,297,540,652,485,193,104,70,7,0,0
0,0,30,4,0,0,2,131,348,247,303,547,674,465,170,107,77,5,0,0
0,1,32,1,0,0,2,127,366,249,338,599,689,426,144,104,31,1,0,0
0,0,32,2,0,0,3,150,355,234,325,631,696,392,154,115,19,2,0,0
0,0,31,3,0,0,1,141,364,238,315,612,684,428,159,112,16,6,0,0
0,0,32,2,0,1,1,131,368,268,293,644,704,387,155,100,23,1,0,0
0,0,28,6,0,0,3,128,359,255,328,605,721,395,155,101,23,3,0,0
0,0,30,4,0,0,3,133,359,257,344,620,673,396,149,123,14,2,3,0
0,0,34,0,0,0,1,138,358,263,313,611,683,402,162,125,17,3,0,0
0,0,34,0,0,0,6,129,356,267,329,595,697,423,140,109,24,1,0,0
0,0,31,3,0,0,4,141,355,243,325,606,712,403,153,115,19,0,0,0
0,0,32,2,0,0,3,144,341,264,343,601,671,408,162,121,15,3,0,0
0,0,33,1,0,0,4,126,363,249,333,625,682,392,160,107,32,3,0,0
0,0,32,2,0,1,2,138,362,255,312,620,708,390,156,112,17,2,1,0
0,0,31,3,0,0,1,131,371,248,331,640,677,388,151,113,24,1,0,0
0,1,28,5,0,1,3,147,344,252,334,624,680,386,165,117,20,3,0,0
0,0,30,4,0,0,4,137,349,260,330,617,692,393,157,109,26,2,0,0
0,0,31,3,0,0,1,129,375,247,329,586,721,409,145,108,19,7,0,0
0,0,29,5,0,0,4,128,367,250,322,628,682,405,158,104,26,2,0,0
0,0,29,5,0,0,3,135,364,256,336,609,687,397,156,107,23,2,0,1
0,0,31,3,0,0,3,136,351,251,343,591,701,398,164,109,25,4,0,0
0,0,30,4,0,0,2,137,353,267,316,606,697,405,157,114,16,6,0,0
0,0,32,2,0,0,3,126,362,263,317,628,694,391,164,98,27,3,0,0
0,0,28,6,0,0,1,140,346,256,345,604,677,422,141,116,26,2,0,0
0,0,31,3,0,0,1,140,365,250,347,593,668,415,154,120,20,3,0,0
0,0,32,2,0,0,4,141,351,258,341,590,696,396,154,119,24,2,0,0
0,0,31,3,0,0,5,133,366,243,327,608,719,380,158,114,20,3,0,0
0,0,29,5,0,0,4,146,365,277,374,740,648,291,158,65,7,1,0,0
0,0,32,2,0,0,1,151,363,262,380,706,693,295,142,75,8,0,0,0
0,1,30,3,0,0,6,147,366,269,394,686,680,324,130,65,9,0,0,0
0,1,30,3,0,0,11,129,369,275,385,679,676,328,156,61,7,0,0,0
0,0,29,5,0,0,7,151,363,263,375,733,654,325,120,74,10,1,0,0
