0,0,0,0,0,0,0,0,0,0,0,2,7,17,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,27,24,42,64,73,71,71,58,74,67,50,46,64,61,70,68,68,76,99,108,122,141,151,154,156,140,150,138,106,102,64,56,40,35,40,37,20,30,34,23,9,11,14,4,5,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,6,17,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,15,28,33,73,60,80,88,78,60,50,55,41,63,44,57,62,74,81,104,148,139,144,146,151,167,145,138,119,109,82,76,63,52,36,35,33,24,27,28,12,16,10,6,2,5,4,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,12,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,17,26,33,54,72,80,85,70,71,68,39,40,61,57,77,69,68,79,97,119,131,159,150,138,149,153,134,125,113,108,68,49,48,42,32,32,27,32,24,27,18,7,4,4,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,10,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,17,23,46,50,71,90,71,78,64,61,51,46,46,47,71,62,75,83,96,113,150,138,144,156,164,155,121,122,119,90,76,59,49,49,38,28,28,32,19,21,19,8,4,3,5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,11,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,8,13,28,47,54,69,72,74,71,58,64,59,43,55,47,70,77,74,80,118,122,140,128,154,149,152,153,133,111,108,100,69,58,40,35,48,33,32,27,23,26,16,8,9,5,2,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,7,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,30,33,53,73,87,88,72,52,61,47,55,53,60,62,66,57,93,105,117,125,160,148,155,150,151,132,133,108,100,77,61,44,31,38,25,30,20,27,28,22,8,9,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,11,13,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,19,38,43,50,70,78,89,69,48,59,43,70,53,59,72,64,67,76,96,118,142,143,141,128,163,145,131,140,124,87,78,56,51,41,33,37,25,27,22,19,22,14,6,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,5,9,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,21,29,40,53,59,85,81,79,56,54,57,42,58,57,59,67,80,74,98,121,154,144,145,144,151,139,146,133,112,109,83,38,39,36,40,29,21,24,28,23,17,13,9,7,3,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,11,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,19,25,43,52,70,80,81,72,56,61,56,51,57,47,77,59,81,92,87,116,139,131,163,109,174,161,142,125,107,89,69,68,43,41,40,25,27,27,24,26,20,11,9,5,3,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,9,13,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,20,20,42,52,64,85,70,71,87,57,51,52,44,54,72,65,75,87,92,111,150,145,149,151,156,121,158,138,110,92,72,56,44,37,37,27,24,31,23,26,12,12,7,6,1,4,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
